JT,IF,ISSN
INORG MATER+,0.864,0020-1685
REV FAC AGRON LUZ,0.864,0378-7818
BRITTONIA,0.863,0007-196X
SCI COMPUT PROGRAM,0.863,0167-6423
HERPETOL J,0.862,0268-0130
ENG ECON,0.861,0013-791X
J MULT-VALUED LOG S,0.861,1542-3980
LOG J IGPL,0.861,1367-0751
IDOJARAS,0.86,0324-6329
INTELL DATA ANAL,0.86,1088-467X
CURR MED IMAGING,0.858,1573-4056
KSII T INTERNET INF,0.858,1976-7277
AM FERN J,0.857,0002-8444
B SYMB LOG,0.857,1079-8986
J GEOM MECH,0.857,1941-4889
J GRAPH THEOR,0.857,0364-9024
J VET DENT,0.857,0898-7564
PUBL RES I MATH SCI,0.857,0034-5318
ACOUST PHYS+,0.856,1063-7710
JPC-J PLANAR CHROMAT,0.856,0933-4173
COMPUT METH FUNCT TH,0.855,1617-9447
STRATIGR GEO CORREL+,0.855,0869-5938
STUD SCI MATH HUNG,0.855,0081-6906
J COASTAL RES,0.854,0749-0208
J PSEUDO-DIFFER OPER,0.854,1662-9981
MATERIALWISS WERKST,0.854,0933-5137
J CONVEX ANAL,0.853,0944-6532
ORNIS FENNICA,0.853,0030-5685
SCIENTIST,0.853,0890-3670
STUD GEOPHYS GEOD,0.853,0039-3169
ADV COMPOS LETT,0.852,0963-6935
CEREAL RES COMMUN,0.85,0133-3720
CHINA PET PROCESS PE,0.85,1008-6234
RUSS J APPL CHEM+,0.85,1070-4272
TECHNOL CULT,0.85,0040-165X
TROP ECOL,0.85,0564-3295
FOLIA PHONIATR LOGO,0.849,1021-7762
HEMOGLOBIN,0.849,0363-0269
NAT AREA J,0.849,0885-8608
ACTA HERPETOL,0.848,1827-9635
ADV APPL MATH,0.848,0196-8858
HERZOGIA,0.848,0018-0971
J MOD DYNAM,0.848,1930-5311
J TRADIT CHIN MED,0.848,0255-2922
CHINESE J GEOPHYS-CH,0.847,0001-5733
EUR J COMBIN,0.847,0195-6698
J SYMB COMPUT,0.847,0747-7171
ANN GLOB ANAL GEOM,0.846,0232-704X
COMPLEX VAR ELLIPTIC,0.846,1747-6933
HORTIC BRAS,0.845,0102-0536
IMA J APPL MATH,0.845,0272-4960
SCHWEIZ ARCH TIERH,0.845,0036-7281
ACTA CARSOLOGICA,0.844,0583-6050
CIENC MAR,0.844,0185-3880
FILOMAT,0.844,0354-5180
MATHEMATIKA,0.844,0025-5793
COMPLEX ANAL OPER TH,0.843,1661-8254
INT J SEMANT WEB INF,0.843,1552-6283
PALEONTOL RES,0.843,1342-8144
MEDITERR BOT,0.842,2603-9109
Z GEOMORPHOL,0.842,0372-8854
HERPETOZOA,0.841,1013-4425
EUR POULTRY SCI,0.84,1612-9199
J MATH LOG,0.84,0219-0613
MED KLIN-INTENSIVMED,0.84,2193-6218
MANUSCRIPTA MATH,0.839,0025-2611
GERIATR PSYCHOL NEUR,0.838,2115-8789
GOSPOD SUROWCAMI MIN,0.838,0860-0953
INT J HEAVY VEH SYST,0.838,1744-232X
CURR PROTEOMICS,0.837,1570-1646
DIFF EQUAT+,0.837,0012-2661
PHARM CHEM J+,0.837,0091-150X
RAMANUJAN J,0.837,1382-4090
INTEGR FERROELECTR,0.836,1058-4587
CHINESE J INORG CHEM,0.834,1001-4861
HORTIC SCI,0.833,0862-867X
J AUDIO ENG SOC,0.833,1549-4950
AEQUATIONES MATH,0.832,0001-9054
APPL MAGN RESON,0.831,0937-9347
CIENC INVESTIG AGRAR,0.831,0718-1620
HETEROCYCLES,0.831,0385-5414
J PURE APPL ALGEBRA,0.831,0022-4049
PAK J ZOOL,0.831,0030-9923
AN SIST SANIT NAVAR,0.829,1137-6627
J LOGIC LANG INFORM,0.829,0925-8531
CEM WAPNO BETON,0.828,1425-8129
EUR PHYS J H,0.828,2102-6459
ALGEBR GEOM TOPOL,0.827,1472-2739
SOC ANIM,0.827,1063-1119
THEOR EXP CHEM+,0.827,0040-5760
THEOR COMPUT SCI,0.827,0304-3975
BRAZ J POULTRY SCI,0.826,1516-635X
HIGH TEMP MAT PR-ISR,0.826,0334-6455
NOTES REC,0.826,0035-9149
NOTFALL RETTUNGSMED,0.826,1434-6222
BRIT J HOSP MED,0.825,1750-8460
CLIN INVEST MED,0.825,0147-958X
CARNETS GEOL,0.824,1634-0744
INT POLYM PROC,0.824,0930-777X
RUSS J PHYS CHEM B+,0.823,1990-7931
BIOL FUTURA,0.821,2676-8615
OCEANOL HYDROBIOL ST,0.821,1730-413X
POL J VET SCI,0.821,1505-1773
INT J OIL GAS COAL T,0.82,1753-3309
ACTA PHYS SIN-CH ED,0.819,1000-3290
ATOMIZATION SPRAY,0.819,1044-5110
BIRD STUDY,0.819,0006-3657
AERONAUT J,0.818,0001-9240
IET COMPUT DIGIT TEC,0.818,1751-8601
INDIAN J EXP BIOL,0.818,0019-5189
J FR OPHTALMOL,0.818,0181-5512
M S-MED SCI,0.818,0767-0974
PAC J MATH,0.817,0030-8730
CLIN DYSMORPHOL,0.816,0962-8827
ERDE,0.816,0013-9998
DOC MATH,0.815,1431-0643
HASELTONIA,0.815,1070-0048
Q APPL MATH,0.815,0033-569X
EXP MATH,0.814,1058-6458
MICH MATH J,0.814,0026-2285
TURK J FIELD CROPS,0.814,1301-1111
AM MALACOL BULL,0.813,0740-2783
FOREST CHRON,0.811,0015-7546
B SOC GEOL MEX,0.81,1405-3322
CHEM NAT COMPD+,0.809,0009-3130
MONATSH MATH,0.808,0026-9255
J S AFR I MIN METALL,0.807,2225-6253
SOIL MECH FOUND ENG+,0.806,0038-0741
TURK J ELECTR ENG CO,0.806,1300-0632
J AM WATER WORKS ASS,0.805,2164-4535
J KOREAN STAT SOC,0.805,1226-3192
ASSIST INFERM RIC,0.804,1592-5986
B EXP BIOL MED+,0.804,0007-4888
ST PETERSB MATH J+,0.804,1061-0022
CIENC RURAL,0.803,0103-8478
TURK J MATH,0.803,1300-0098
NORD J BOT,0.802,0107-055X
RUSS J PAC GEOL,0.802,1819-7140
IRAN J FISH SCI,0.801,1562-2916
ACTA VET-BEOGRAD,0.8,0567-8315
ANZIAM J,0.8,1446-1811
AUSTRIAN J EARTH SCI,0.8,2072-7151
COMM APP MATH COM SC,0.8,1559-3940
FRUITS,0.8,0248-1294
ICELAND AGR SCI,0.8,1670-567X
J AUST MATH SOC,0.8,1446-7887
SEMIN ROENTGENOL,0.8,0037-198X
BRAZ ARCH BIOL TECHN,0.797,1516-8913
MOSC MATH J,0.797,1609-3321
INT J ROBOT AUTOM,0.796,0826-8185
RUSS J BIOORG CHEM+,0.796,1068-1620
Z ANAL ANWEND,0.796,0232-2064
SILVAE GENET,0.795,0037-5349
AFR J WILDL RES,0.794,2410-7220
NOTA LEPIDOPTEROLOGI,0.794,0342-7536
INFIN DIMENS ANAL QU,0.793,0219-0257
ALGORITHMICA,0.791,0178-4617
CYTOLOGIA,0.791,0011-4545
SPIXIANA,0.791,0341-8391
Z PSYCHOSOM MED PSYC,0.791,1438-3608
ANN MATH ARTIF INTEL,0.789,1012-2443
EST J EARTH SCI,0.789,1736-4728
SCI SPORT,0.789,0765-1597
ANAL MATH,0.788,0133-3852
DOKL BIOCHEM BIOPHYS,0.788,1607-6729
J APIC SCI,0.788,1643-4439
NATL ACAD SCI LETT,0.788,0250-541X
CR MATH,0.787,1631-073X
IND TEXTILA,0.784,1222-5347
J FISH WILDL MANAG,0.784,1944-687X
TEH VJESN,0.783,1330-3651
UKR J PHYS OPT,0.783,1609-1833
ELECTRON COMMUN PROB,0.782,1083-589X
J CHEM RES,0.782,1747-5198
PAC J OPTIM,0.782,1348-9151
EUR J PHYS,0.781,0143-0807
J PAK MED ASSOC,0.781,0030-9982
ACTA CLIN CROAT,0.78,0353-9466
BOTHALIA,0.78,0006-8241
J SUPERHARD MATER+,0.78,1063-4576
EARTH SCI RES J,0.779,1794-6190
INT J RADIAT RES,0.779,2322-3243
SIBERIAN MATH J+,0.778,0037-4466
ANN DERMATOL VENER,0.777,0151-9638
COLEOPTS BULL,0.776,0010-065X
J ZOO WILDLIFE MED,0.776,1042-7260
MECH ENG,0.776,0025-6501
REV MED VET-TOULOUSE,0.776,0035-1555
SIGMOD REC,0.775,0163-5808
INT J TROP INSECT SC,0.774,1742-7584
REV ARVORE,0.774,0100-6762
AM CERAM SOC BULL,0.773,0002-7812
GEOL BELG,0.773,1374-8505
THEOR PROBAB APPL+,0.773,0040-585X
CONTEMP PROBL ECOL+,0.771,1995-4255
J TROP FOR SCI,0.77,0128-1283
MATH SLOVACA,0.77,0139-9918
RADIOPHYS QUANT EL+,0.77,0033-8443
MAR ORNITHOL,0.768,1018-3337
RUSS METEOROL HYDRO+,0.768,1068-3739
SEMIGROUP FORUM,0.768,0037-1912
ARCH METALL MATER,0.767,1733-3490
ENTOMOL FENNICA,0.767,0785-8760
JNP-J NURSE PRACT,0.767,1555-4155
ANN ITAL CHIR,0.766,0003-469X
HOKKAIDO MATH J,0.766,0385-4035
NEUROENDOCRINOL LETT,0.765,0172-780X
ING INVEST,0.764,0120-5609
BOSQUE,0.763,0717-9200
ACTA ACUST UNITED AC,0.762,1610-1928
COMMUN ALGEBRA,0.762,0092-7872
HIGH ENERG CHEM+,0.762,0018-1439
GENETIKA-BELGRADE,0.761,0534-0012
J VOLCANOL SEISMOL+,0.761,0742-0463
MED PR,0.76,0465-5893
SOLVENT EXTR RES DEV,0.76,1341-7215
IRAN J CHEM CHEM ENG,0.759,1021-9986
SENSOR MATER,0.759,0914-4935
T AM ENTOMOL SOC,0.759,0002-8320
MICROELECTRON INT,0.758,1356-5362
REV CAATINGA,0.758,0100-316X
AUST J ZOOL,0.757,0004-959X
INDIAN J TRADIT KNOW,0.757,0972-5938
MET SCI HEAT TREAT+,0.757,0026-0673
CHINESE ANN MATH B,0.756,0252-9599
EARLY SCI MED,0.756,1383-7427
ISI BILIM TEK DERG,0.756,1300-3615
COMPEL,0.755,0332-1649
STUD HIST PHI PART C,0.754,1369-8486
ALGEBR LOG+,0.753,0002-5232
FORTSCHR NEUROL PSYC,0.752,0720-4299
IEEJ T ELECTR ELECTR,0.752,1931-4973
HAUTARZT,0.751,0017-8470
INT J PHARMACOL,0.751,1811-7775
AMBIX,0.75,0002-6980
HIST PHILOS LOGIC,0.75,0144-5340
SLOV VET RES,0.749,1580-4003
ACTA PHYS POL B,0.748,0587-4254
INT J MATER RES,0.748,1862-5282
PAK J AGR SCI,0.748,0552-9034
JUNDISHAPUR J MICROB,0.747,2008-3645
THEOR PRACT LOG PROG,0.747,1471-0684
BIOMOL NMR ASSIGN,0.746,1874-2718
ESAIM-PROBAB STAT,0.745,1292-8100
TUEXENIA,0.744,0722-494X
CONTRIB DISCRET MATH,0.743,1715-0868
INTERNIST,0.743,0020-9554
ODONATOLOGICA,0.743,0375-0183
T FAMENA,0.743,1333-1124
ANTHROPOL SCI,0.742,0918-7960
REP MATH PHYS,0.742,0034-4877
J APPL SPECTROSC+,0.741,0021-9037
J MATH MUSIC,0.741,1745-9737
NAUTILUS,0.741,0028-1344
INDIAN J PATHOL MICR,0.74,0377-4929
ACTA ADRIAT,0.739,0001-5113
INT J SOFTW TOOLS TE,0.739,1433-2779
REPRESENT THEOR,0.739,1088-4165
STUD CONSERV,0.739,0039-3630
REV MVZ CORDOBA,0.738,0122-0268
ACTA ENT MUS NAT PRA,0.737,0374-1036
COMMUN ANAL GEOM,0.736,1019-8385
ENVIRON ENG GEOSCI,0.736,1078-7275
J ALGEBRA APPL,0.736,0219-4988
SIAM J DISCRETE MATH,0.736,0895-4801
AM MIDL NAT,0.735,0003-0031
CRYSTALLOGR REP+,0.735,1063-7745
ROCZ OCHR SR,0.734,1506-218X
J NONCOMMUT GEOM,0.733,1661-6952
BALT FOR,0.732,1392-1355
J CHEM ENG JPN,0.732,0021-9592
TROP DOCT,0.731,0049-4755
APPL GEOPHYS,0.73,1672-7975
PALEONTOL J+,0.73,0031-0301
IEEE LAT AM T,0.729,1548-0992
SCOT MED J,0.729,0036-9330
REV MED INTERNE,0.728,0248-8663
FREQUENZ,0.726,0016-1136
ETHIOP J HEALTH DEV,0.725,1021-6790
J MATH ECON,0.725,0304-4068
APPL COMPUT ELECTROM,0.724,1054-4887
MATH RES LETT,0.723,1073-2780
MED SPORT,0.723,0025-7826
REV BIOL TROP,0.723,0034-7744
RUSS J ORG CHEM+,0.723,1070-4280
ANN BOT-COENOL PLANT,0.722,0365-0812
NEPHROL THER,0.722,1769-7255
CAN MATH BULL,0.721,0008-4395
ISR J PLANT SCI,0.721,0792-9978
J MINER PETROL SCI,0.721,1345-6296
MATH SCAND,0.721,0025-5521
ALEA-LAT AM J PROBAB,0.72,1980-0436
ESTUD GEOL-MADRID,0.72,0367-0449
J NEW MAT ELECTR SYS,0.72,1480-2422
J NUMBER THEORY,0.72,0022-314X
MATH POPUL STUD,0.72,0889-8480
INT J ALGEBR COMPUT,0.719,0218-1967
ADV GEOM,0.718,1615-715X
INT J DIABETES DEV C,0.718,0973-3930
IZV ATMOS OCEAN PHY+,0.718,0001-4338
RUSS J DEV BIOL+,0.718,1062-3604
ASTROPHYSICS+,0.717,0571-7256
GEOL CROAT,0.717,1330-030X
ENG AGR-JABOTICABAL,0.716,0100-6916
REV MEX BIODIVERS,0.716,1870-3453
TAPPI J,0.716,0734-1415
DISCUSS MATH GRAPH T,0.714,1234-3099
J HISTOTECHNOL,0.714,0147-8885
TECH PHYS LETT+,0.714,1063-7850
URSUS,0.714,1537-6176
REV CIENC AGRON,0.713,0045-6888
REV CHAPINGO SER CIE,0.712,2007-3828
APPL ECOL ENV RES,0.711,1589-1623
BIOSEMIOTICS-NETH,0.711,1875-1342
JCPSP-J COLL PHYSICI,0.711,1022-386X
GLASS CERAM+,0.708,0361-7610
J BIOBASED MATER BIO,0.708,1556-6560
MAR TECHNOL SOC J,0.708,0025-3324
DEFENCE SCI J,0.707,0011-748X
INT J ODONATOL,0.707,1388-7890
J SYMPLECT GEOM,0.707,1527-5256
INT J APPL ELECTROM,0.706,1383-5416
SOLAR SYST RES+,0.706,0038-0946
CYBIUM,0.705,0399-0974
J PALAEONTOL SOC IND,0.705,0552-9360
PLANTA DANINHA,0.705,0100-8358
P R HEALTH SCI J,0.705,0738-0658
REV BRAS PALEONTOLOG,0.705,1519-7530
ARCH MOLLUSKENKD,0.704,1869-0963
INFORM COMPUT,0.704,0890-5401
ANN PALEONTOL,0.702,0753-3969
GEOMAGN AERONOMY+,0.701,0016-7932
PHYS TEACH,0.701,0031-921X
KLIN MONATSBL AUGENH,0.7,0023-2165
REV GEOGR NORTE GD,0.7,0379-8682
ANASTH INTENSIV NOTF,0.698,0939-2661
THEOR FOUND CHEM EN+,0.698,0040-5795
UNDERSEA HYPERBAR M,0.698,1066-2936
WOUND MANAG PREV,0.698,2640-5237
ELECTRON J COMB,0.695,1077-8926
DIFFER GEOM APPL,0.694,0926-2245
EXPERT OPIN ORPHAN D,0.694,2167-8707
OCEANOLOGY+,0.694,0001-4370
BOIS FOR TROP,0.692,0006-579X
INT J WEB SERV RES,0.692,1545-7362
J ASIAN ARCHIT BUILD,0.692,1346-7581
J FRACTAL GEOM,0.692,2308-1309
RUSS J NONDESTRUCT+,0.692,1061-8309
RUSS J PHYS CHEM A+,0.691,0036-0244
ADV APPL PROBAB,0.69,0001-8678
FUND MATH,0.69,0016-2736
HIST HUM SCI,0.69,0952-6951
J CERAM PROCESS RES,0.69,1229-9162
ALGEBR REPRESENT TH,0.689,1386-923X
MACED J CHEM CHEM EN,0.689,1857-5552
MADERA BOSQUES,0.689,2448-7597
AM SURGEON,0.688,0003-1348
FLUID DYNAM+,0.688,0015-4628
INT J MATH,0.688,0129-167X
ISIS,0.688,0021-1753
METALLURGIST+,0.688,0026-0894
RES THEOR NURS PRACT,0.688,1541-6577
AGREKON,0.686,0303-1853
INDIAN J PHARM EDUC,0.686,0019-5464
KAFKAS UNIV VET FAK,0.685,1300-6045
Z GEBURTSH NEONATOL,0.685,0948-2393
ACTA AGR SCAND A-AN,0.684,0906-4702
CURR HERPETOL,0.684,1345-5834
MATH SOC SCI,0.684,0165-4896
PAK J PHARM SCI,0.684,1011-601X
RUSS J ECOL+,0.684,1067-4136
INVEST CLIN,0.683,0535-5133
ELECTRON J LINEAR AL,0.682,1537-9582
IMAGE ANAL STEREOL,0.682,1580-3139
Q J MATH,0.681,0033-5606
P I CIVIL ENG-MUNIC,0.68,0965-0903
TOPOL METHOD NONL AN,0.68,1230-3429
BANGL J PLANT TAXON,0.679,1028-2092
DOKL PHYS,0.679,1028-3358
TROP ZOOL,0.679,0394-6975
ANN PURE APPL LOGIC,0.678,0168-0072
J THERM SCI TECH-JPN,0.678,1880-5566
AORN J,0.676,0001-2092
ASTRON NACHR,0.676,0004-6337
GEOMORPHOLOGIE,0.676,1266-5304
HEART SURG FORUM,0.676,1098-3511
COMP MATH MATH PHYS+,0.675,0965-5425
J AM PODIAT MED ASSN,0.675,8750-7315
MATER SCI+,0.675,1068-820X
INT J NUMBER THEORY,0.674,1793-0421
SEMICONDUCTORS+,0.674,1063-7826
ACTA SCI POL-HORTORU,0.673,1644-0692
MATH NOTES+,0.673,0001-4346
TURK J ZOOL,0.673,1300-0179
MOSC U PHYS B+,0.672,0027-1349
IEEE IND APPL MAG,0.671,1077-2618
ARTHROPODA SEL,0.67,0136-006X
GEOL ORE DEPOSIT+,0.67,1075-7015
INT J OFFSHORE POLAR,0.67,1053-5381
SARCOIDOSIS VASC DIF,0.67,1124-0490
ARS MATH CONTEMP,0.669,1855-3966
INT ARAB J INF TECHN,0.669,1683-3198
J WATER CHEM TECHNO+,0.669,1063-455X
FOOD SCI TECHNOL RES,0.668,1344-6606
ACTA PAUL ENFERM,0.667,0103-2100
ACTA VET BRNO,0.667,0001-7213
ARTIF LIFE,0.667,1064-5462
ENTOMOL AM-NY,0.667,1947-5136
GEOMETRIAE DEDICATA,0.667,0046-5755
INT J DATA MIN BIOIN,0.667,1748-5673
J COMB DES,0.667,1063-8539
J MAR SCI TECH-TAIW,0.667,1023-2796
J MED PRIMATOL,0.667,0047-2565
J RUBBER RES,0.667,1511-1768
PHYTON-ANN REI BOT A,0.667,0079-2047
REC AUST MUS,0.667,0067-1975
LASER ENG,0.665,0898-1507
RUSS PHYS J+,0.664,1064-8887
MATH REP,0.662,1582-3067
CRYPTOGAMIE BRYOL,0.661,1290-0796
J ENERGY SOUTH AFR,0.661,1021-447X
ANN CHIR PLAST ESTH,0.66,0294-1260
CURR OPT PHOTONICS,0.66,2508-7266
GLAS MAT,0.66,0017-095X
GROUP GEOM DYNAM,0.66,1661-7207
HEPAT MON,0.66,1735-143X
J CAVE KARST STUD,0.659,1090-6924
PURE APPL MATH Q,0.659,1558-8599
AKTUEL UROL,0.658,0001-7868
MITOCHONDRIAL DNA B,0.658,****-****
POLAR REC,0.658,0032-2474
J APPL MECH TECH PH+,0.657,0021-8944
INDIAN J SURG,0.656,0972-2068
MALAYS J PATHOL,0.656,0126-8635
MAMM STUDY,0.656,1343-4152
WILSON J ORNITHOL,0.656,1559-4491
ACCREDIT QUAL ASSUR,0.655,0949-1775
INDIAN J FIBRE TEXT,0.655,0971-0426
INRA PROD ANIM,0.655,2273-774X
OPEN ASTRON,0.655,****-****
PFLEGE,0.655,1012-5302
INT J AD HOC UBIQ CO,0.654,1743-8225
S AFR J IND ENG,0.654,2224-7890
TECH PHYS+,0.654,1063-7842
MEDICINA-BUENOS AIRE,0.653,0025-7680
STOCH MODELS,0.652,1532-6349
ACTA ALIMENT HUNG,0.65,0139-3006
CHEM J CHINESE U,0.65,0251-0790
INT J MATER PROD TEC,0.649,0268-1900
JPN J VET RES,0.649,0047-1917
J KOREAN PHYS SOC,0.649,0374-4884
GLASGOW MATH J,0.648,0017-0895
AUST J ADV NURS,0.647,0813-0531
B BELG MATH SOC-SIM,0.647,1370-1444
J ELECTR ENG-SLOVAK,0.647,1335-3632
PAN-PAC ENTOMOL,0.645,0031-0603
B IRAN MATH SOC,0.644,1017-060X
APPL CATEGOR STRUCT,0.643,0927-2852
ROM J INF SCI TECH,0.643,1453-8245
TOP APPL PHYS,0.643,0303-4216
PROG REACT KINET MEC,0.642,1468-6783
REV SUISSE ZOOL,0.642,0035-418X
SOLDAGEM INSP,0.642,0104-9224
AUST NZ J STAT,0.64,1369-1473
LANDBAUFORSCHUNG-GER,0.64,0458-6859
HIST MATH,0.639,0315-0860
UROLOGE,0.639,0340-2592
CHEM IND CHEM ENG Q,0.638,1451-9372
DOKL PHYS CHEM,0.638,0012-5016
MATER TEHNOL,0.638,1580-2949
MATH STRUCT COMP SCI,0.637,0960-1295
NEW YORK J MATH,0.637,1076-9803
CHEMIJA,0.636,0235-7216
DOKL CHEM,0.636,0012-5008
J AGR SCI-TARIM BILI,0.636,****-****
MAEJO INT J SCI TECH,0.636,1905-7873
MAUSAM,0.636,0252-9416
PUBL MATH-DEBRECEN,0.636,0033-3883
RUSS J HERPETOL,0.636,1026-2296
ARCH ARGENT PEDIATR,0.635,0325-0075
RADIOLOGE,0.635,0033-832X
IHERINGIA SER BOT,0.633,****-****
LITH J PHYS,0.633,1648-8504
B AUST MATH SOC,0.63,0004-9727
NEW REV HYPERMEDIA M,0.63,1361-4568
SIGNA VITAE,0.63,1334-5605
J SO HEMISPH EARTH,0.629,****-****
DEUT MED WOCHENSCHR,0.628,0012-0472
FORM ASP COMPUT,0.627,0934-5043
HEM IND,0.627,0367-598X
REV MEX CIENC GEOL,0.627,1026-8774
ALGEBR UNIV,0.626,0002-5240
ANN BOT FENN,0.626,0003-3847
ACM T COMPUT LOG,0.625,1529-3785
INT J DATA WAREHOUS,0.625,1548-3924
MALACOLOGIA,0.625,0076-2997
QUATERNAIRE,0.625,1142-2904
ASIAN J MATH,0.624,1093-6106
OPER MATRICES,0.624,1846-3886
REV NUTR,0.624,1415-5273
ACTA MATH HUNG,0.623,0236-5294
PLANKTON BENTHOS RES,0.623,1880-8247
TROP BIOMED,0.623,0127-5720
DYNAM SYST APPL,0.622,1056-2176
DYNAM SYST,0.622,1468-9367
MALAYS J COMPUT SCI,0.622,0127-9084
MIKROBIYOL BUL,0.622,0374-9096
REV MAL RESPIR,0.622,0761-8425
P BIOL SOC WASH,0.621,0006-324X
RHODORA,0.621,0035-4902
RUSS J MAR BIOL+,0.621,1063-0740
FERROELECTRICS,0.62,0015-0193
J ENG RES-KUWAIT,0.62,2307-1877
STRENGTH MATER+,0.62,0039-2316
THALASSAS,0.62,0212-5919
DOKL MATH,0.619,1064-5624
FOOD DRUG LAW J,0.619,1064-590X
GER J AGR ECON,0.618,0002-1121
J ENTOMOL SCI,0.618,0749-8004
J WEB ENG,0.617,1540-9589
MATER SCI-MEDZG,0.617,1392-1320
TOPOL APPL,0.617,0166-8641
ORDER,0.616,0167-8094
WATER RESOUR+,0.616,0097-8078
GEOFIS INT,0.615,0016-7169
SCIENCEASIA,0.615,1513-1874
J COMMUT ALGEBR,0.614,1939-0807
SUGAR IND,0.613,0344-8657
AFR J HERPETOL,0.611,2156-4574
IRAN RED CRESCENT ME,0.611,2074-1804
REV FITOTEC MEX,0.611,0187-7380
TROP GRASSL-FORRAJES,0.611,2346-3775
NAUPLIUS,0.61,0104-6497
J ADV MECH DES SYST,0.609,1881-3054
J TORREY BOT SOC,0.609,1095-5674
ACTA ARITH,0.608,0065-1036
ARCH MATH,0.608,0003-889X
BARIATR SURG PRACT P,0.607,2168-023X
J RUSS LASER RES,0.607,1071-2836
J LIE THEORY,0.606,0949-5932
CUST AGRONEGOCIO,0.605,1808-2882
RUSS J NON-FERR MET+,0.605,1067-8212
AGROCHIMICA,0.604,0002-1857
KINEMAT PHYS CELEST+,0.604,0884-5913
J CHEM CRYSTALLOGR,0.603,1074-1542
J ICHTHYOL+,0.603,0032-9452
TURK ENTOMOL DERG-TU,0.603,1010-6960
FISH PATHOL,0.6,0388-788X
HIROSHIMA MATH J,0.6,0018-2079
INT J SPORT PSYCHOL,0.6,0047-0767
J COMPUT THEOR TRANS,0.6,2332-4309
ARTERY RES,0.597,1872-9312
MECHANIKA,0.597,1392-1207
DISCRETE MATH THEOR,0.596,1462-7264
TIERAERZTL PRAX K H,0.596,1434-1239
P JPN ACAD A-MATH,0.595,0386-2194
ARCH HIST EXACT SCI,0.594,0003-9519
TEK DERGI,0.594,1300-3453
MATER PLAST,0.593,2668-8220
NEUES JB MINER ABH,0.593,0077-7757
INDIAN J CHEM B,0.592,0376-4699
ANAL GEOM METR SPACE,0.591,2299-3274
GLASS TECHNOL-PART A,0.591,1753-3546
LEGUME RES,0.589,0250-5371
REV BRAS MED ESPORTE,0.589,1517-8692
SPECTROSC SPECT ANAL,0.589,1000-0593
NORTHWEST SCI,0.588,0029-344X
REV COLOMB CIENC PEC,0.588,0120-0690
J OPTOELECTRON ADV M,0.587,1454-4164
NEUROPHYSIOLOGY+,0.587,0090-2977
LITHOL MINER RESOUR+,0.586,0024-4902
J MATH PHYS ANAL GEO,0.585,1812-9471
STUD LOGICA,0.585,0039-3215
PESQUI VET BRASIL,0.584,0100-736X
J KOREAN MATH SOC,0.583,0304-9914
MEDICC REV,0.583,1555-7960
NORTHEAST NAT,0.583,1092-6194
J MED DEVICES,0.582,1932-6181
SPECTROSCOPY-US,0.582,0887-6703
STAT INTERFACE,0.582,1938-7989
THEOR COMPUT SYST,0.582,1432-4350
B GEOFIS TEOR APPL,0.581,0006-6729
INT J ACOUST VIB,0.581,1027-5851
J LOG ALGEBR METHODS,0.581,2352-2208
PTERIDINES,0.581,0933-4807
RUSS J GENET+,0.581,1022-7954
TURK J VET ANIM SCI,0.581,1300-0128
CYTOL GENET+,0.579,0095-4527
IEICE ELECTRON EXPR,0.578,1349-2543
J CONTEMP PHYS-ARME+,0.578,1068-3372
ACTA PHYS POL A,0.577,0587-4246
J ENVIRON PROT ECOL,0.577,1311-5065
REDIA,0.577,0370-4327
SCI TECHNOL NUCL INS,0.577,1687-6075
MAGNETOHYDRODYNAMICS,0.576,0024-998X
GRUNDWASSER,0.575,1430-483X
WORLD REV NUTR DIET,0.575,0084-2230
Z NEUROPSYCHOL,0.575,1016-264X
CANDOLLEA,0.574,0373-2967
CIENC FLOREST,0.574,0103-9954
FORSCH INGENIEURWES,0.574,0015-7899
INSTRUM EXP TECH+,0.573,0020-4412
HIGH TEMP-HIGH PRESS,0.571,0018-1544
J SEISM EXPLOR,0.571,0963-0651
MITT KLOSTERNEUBURG,0.571,0007-5922
INDIAN J CHEM TECHN,0.57,0971-457X
STUD NEOTROP FAUNA E,0.569,0165-0521
WEST N AM NATURALIST,0.569,1527-0904
J FRICT WEAR+,0.568,1068-3666
ROCKY MT J MATH,0.568,0035-7596
ANN SCI,0.565,0003-3790
SEMIN-CIENC AGRAR,0.564,1676-546X
REV ROM MATER,0.563,1583-3186
RIV ITAL SOSTANZE GR,0.563,0035-6808
CALDASIA,0.562,0366-5232
HER RUSS ACAD SCI+,0.56,1019-3316
J JPN PETROL INST,0.56,1346-8804
NOVON,0.56,1055-3177
PROBAB MATH STAT-POL,0.56,0208-4147
GAYANA,0.559,0717-6538
IEICE T INF SYST,0.559,1745-1361
ISR J ECOL EVOL,0.559,1565-9801
JARQ-JPN AGR RES Q,0.558,0021-3551
VET MED-CZECH,0.558,0375-8427
J AGROMETEOROL,0.557,0972-1665
J AVIAN MED SURG,0.557,1082-6742
J INFRARED MILLIM W,0.557,1001-9014
ITE J,0.556,0162-8178
MARKOV PROCESS RELAT,0.556,1024-2953
MATER EVAL,0.556,0025-5327
HUM BIOL,0.553,0018-7143
NEUROCIRUGIA,0.553,1130-1473
REV MED CHILE,0.553,0034-9887
TURKISH J PEDIATR,0.552,0041-4301
ACTA SCI-TECHNOL,0.55,1806-2563
