"issn","jfull","jabbr","impact"
"2052-9597","Philosophy of management","Philos Manag",NA
"2468-0834","Applied biological chemistry","Appl Biol Chem",1.813
"2468-0842","Applied biological chemistry","Appl Biol Chem",NA
"2198-6592","Current pollution reports","Curr Pollut Rep",6.373
"2471-285X","IEEE transactions on emerging topics in computational intelligence","IEEE Trans Emerg Top Comput Intell",NA
"2693-2431","The Utah women's health review","Utah Womens Health Rev",NA
"2642-4150","Journal of polymer science (2020)","J Polym Sci (2020)",0
"2642-4169","Journal of polymer science (2020)","J Polym Sci (2020)",NA
"2662-138X","Nature reviews. Earth & environment","Nat Rev Earth Environ",NA
"2520-4378","The health press","Health Press",NA
"2590-0935","Medicine in novel technology and devices","Med Nov Technol Devices",NA
"2562-0959","JMIR dermatology","JMIR Dermatol",NA
"0020-7403","International journal of mechanical sciences","Int J Mech Sci",5.329
"1879-2162","International journal of mechanical sciences","Int J Mech Sci",NA
"2394-2010","Journal of health research and reviews in developing countries","J Health Res Rev Dev Ctries",NA
"2394-2029","Journal of health research and reviews in developing countries","J Health Res Rev Dev Ctries",NA
"2719-6488","Journal of mother and child","J Mother Child",NA
"2719-535X","Journal of mother and child","J Mother Child",NA
"2665-9271","Current research in food science","Curr Res Food Sci",NA
"0268-1102","Information technology for development","Inf Technol Dev",NA
"1554-0170","Information technology for development","Inf Technol Dev",NA
"2639-5908","Ecosystems and people (Abingdon, England)","Ecosyst People (Abingdon)",NA
"2639-5916","Ecosystems and people (Abingdon, England)","Ecosyst People (Abingdon)",NA
"0373-3114","Annali di matematica pura ed applicata","Ann Mat Pura Appl",0.969
"1618-1891","Annali di matematica pura ed applicata","Ann Mat Pura Appl",NA
"2333-7486","Critical military studies","Crit Mil Stud",NA
"2333-7494","Critical military studies","Crit Mil Stud",NA
"2562-7600","JMIR nursing","JMIR Nurs",NA
"2666-6936","Cardiovascular digital health journal","Cardiovasc Digit Health J",NA
"0013-1911","Educational review","Educ Rev (Birm)",NA
"1465-3397","Educational review","Educ Rev (Birm)",NA
"1369-801X","Interventions (London, England)","Interventions (Lond)",NA
"1469-929X","Interventions (London, England)","Interventions (Lond)",NA
"1744-9855","Journal of postcolonial writing","J Postcolon Writ",NA
"1744-9863","Journal of postcolonial writing","J Postcolon Writ",NA
"0034-6659","Nutrition and food science","Nutr Food Sci",NA
"1758-6917","Nutrition and food science","Nutr Food Sci",NA
"2381-7690","Bioscience and bioengineering (Boston, Mass.)","Biosci Bioeng",NA
"2381-7704","Bioscience and bioengineering (Boston, Mass.)","Biosci Bioeng",NA
"1943-6505","FastTIMES : the EEGS newsletter","FastTIMES",NA
"2666-6758","Innovation (Cambridge (Mass.))","Innovation (Camb)",NA
"0278-081X","Circuits, systems, and signal processing","Circuits Syst Signal Process",2.225
"1531-5878","Circuits, systems, and signal processing","Circuits Syst Signal Process",NA
"2706-8404","Sumerianz journal of medical and healthcare","Sumer J Med Healthc",NA
"2663-421X","Sumerianz journal of medical and healthcare","Sumer J Med Healthc",NA
"2578-6490","Alzheimers disease & dementia","Alzheimers Dis Dement",NA
"2639-5355","Sexuality, gender & policy","Sex Gend Policy",NA
"2516-1091","Progress in biomedical engineering (Bristol, England)","Prog Biomed Eng (Bristol)",NA
"2666-1691","European urology open science","Eur Urol Open Sci",0
"2666-1683","European urology open science","Eur Urol Open Sci",NA
"2095-3127","Advances in manufacturing","Adv Manuf",3.48
"2195-3597","Advances in manufacturing","Adv Manuf",NA
"0731-4582","The Journal of urban psychiatry","J Urban Psychiatry",NA
"2325-2936","... International Conference on Distributed Computing in Sensor Systems and workshops. DCOSS (Conference)","Int Conf Distrib Comput Sens Syst Workshops",NA
"2325-2944","... International Conference on Distributed Computing in Sensor Systems and workshops. DCOSS (Conference)","Int Conf Distrib Comput Sens Syst Workshops",NA
"2079-7192","Annals of King Edward Medical University","Ann King Edw Med Univ",NA
"2079-0694","Annals of King Edward Medical University","Ann King Edw Med Univ",NA
"2516-5542","BMJ nutrition, prevention & health","BMJ Nutr Prev Health",NA
"1913-200X","Canadian journal of speech-language pathology and audiology : CJSLPA = Revue canadienne d'orthophonie et d'audiologie : RCOA","Can J Speech Lang Pathol Audiol",NA
"1913-2018","Canadian journal of speech-language pathology and audiology : CJSLPA = Revue canadienne d'orthophonie et d'audiologie : RCOA","Can J Speech Lang Pathol Audiol",NA
"0014-4797","Experimental agriculture","Exp Agric",2.118
"1469-4441","Experimental agriculture","Exp Agric",NA
"2048-7010","Agriculture & food security","Agric Food Secur",NA
"2196-2804","International journal of food contamination","Int J Food Contam",NA
"2035-5963","Life span and disability","Life Span Disabil",NA
"1567-2069","Strength, fracture and complexity","Strength Fract Complex",NA
"1875-9262","Strength, fracture and complexity","Strength Fract Complex",NA
"2590-0498","Materials today. Advances","Mater Today Adv",7.579
"2590-1834","Smart materials in medicine","Smart Mater Med",NA
"2468-2276","Scientific African","Sci Afr",NA
"2632-0886","UCL open environment","UCL Open Environ",NA
"2666-5212","Intelligence-based medicine","Intell Based Med",NA
"2692-546X","Journal of neurobiology and physiology","J Neurobiol Physiol",NA
"2363-8397","Indian journal of gynecologic oncology","Indian J Gynecol Oncol",NA
"2363-8400","Indian journal of gynecologic oncology","Indian J Gynecol Oncol",NA
"2322-4398","Journal of pediatrics review","J Pediatr Rev",NA
"2322-4401","Journal of pediatrics review","J Pediatr Rev",NA
"2643-6515","Plant phenomics (Washington, D.C.)","Plant Phenomics",NA
"2574-2167","OTA international : the open access journal of orthopaedic trauma","OTA Int",NA
"1090-1027","Journal of early childhood teacher education","J Early Child Teach Educ",NA
"1745-5642","Journal of early childhood teacher education","J Early Child Teach Educ",NA
"2687-816X","Global journal of orthopedics research","Glob J Orthop Res",NA
"2666-027X","Current research in toxicology","Curr Res Toxicol",NA
"2523-3653","International journal of bullying prevention : an official publication of the International Bullying Prevention Association","Int J Bullying Prev",NA
"2523-3661","International journal of bullying prevention : an official publication of the International Bullying Prevention Association","Int J Bullying Prev",NA
"1098-6065","Mathematical thinking & learning","Math Think Learn",NA
"1532-7833","Mathematical thinking & learning","Math Think Learn",NA
"2515-7620","Environmental research communications","Environ Res Commun",2.104
"2380-8985","Annals of the International Communication Association","Ann Int Commun Assoc",NA
"2380-8977","Annals of the International Communication Association","Ann Int Commun Assoc",NA
"2673-253X","Frontiers in digital health","Front Digit Health",NA
"1746-6172","International journal of modelling identification and control","Int J Model Identif Control",NA
"1746-6180","International journal of modelling identification and control","Int J Model Identif Control",NA
"2613-7828","Neurology and neurobiology (Tallinn, Estonia)","Neurol Neurobiol (Tallinn)",NA
"0958-5176","The curriculum journal","Curric J",NA
"1469-3704","The curriculum journal","Curric J",NA
"2197-8670","Geoenvironmental disasters","Geoenvironmental Disasters",NA
"2399-5297","Clinical and diagnostic pathology","Clin Diagn Pathol",NA
"0951-8320","Reliability engineering & system safety","Reliab Eng Syst Saf",6.188
"1879-0836","Reliability engineering & system safety","Reliab Eng Syst Saf",NA
"2514-3700","Medical research and innovations","Med Res Innov",NA
"0936-577X","Climate research","Clim Res",1.972
"1616-1572","Climate research","Clim Res",NA
"0021-9142","The journal of the astronautical sciences","J Astronaut Sci",1.531
"2195-0571","The journal of the astronautical sciences","J Astronaut Sci",NA
"2688-4518","Annals of LGBTQ public and population health","Ann LGBTQ Public Popul Health",NA
"0147-5622","Psychosocial rehabilitation journal","Psychosoc Rehabil J",NA
"0920-5489","Computer standards & interfaces","Comput Stand Interfaces",2.487
"1872-7018","Computer standards & interfaces","Comput Stand Interfaces",NA
"2474-7629","Spartan medical research journal","Spartan Med Res J",NA
"2633-2892","QRB discovery","QRB Discov",NA
"2637-4943","Environmental DNA (Hoboken, N.J.)","Environ DNA",NA
"2219-2816","World journal of clinical urology","World J Clin Urol",NA
"2366-0139","Quality and user experience","Qual User Exp",NA
"2366-0147","Quality and user experience","Qual User Exp",NA
"2080-1297","Baltic journal of health and physical activity","Balt J Health Phys Act",NA
"2080-9999","Baltic journal of health and physical activity","Balt J Health Phys Act",NA
"2308-457X","Interspeech","Interspeech",NA
"2366-8539","Collective dynamics","Collect Dyn",NA
"0363-2415","Fisheries","Fisheries (Bethesda)",2.939
"1548-8446","Fisheries","Fisheries (Bethesda)",NA
"1791-5201","International journal of caring sciences","Int J Caring Sci",NA
"1792-037X","International journal of caring sciences","Int J Caring Sci",NA
"2185-0992","International journal of automotive engineering","Int J Automot Eng",NA
"1475-1585","Journal of English for academic purposes","J Engl Acad Purp",NA
"1878-1497","Journal of English for academic purposes","J Engl Acad Purp",NA
"2692-093X","Neurological sciences and neurosurgery","Neurol Sci Neurosurg",NA
"0892-3310","Journal of scientific exploration : a publication of the Society for Scientific Exploration","J Sci Explor",NA
"2687-6442","Florence Nightingale journal of nursing","Florence Nightingale J Nurs",NA
"2631-4797","Aesthetic surgery journal. Open forum","Aesthet Surg J Open Forum",NA
"2673-4087","NeuroSci","NeuroSci",NA
"2662-995X","SN computer science","SN Comput Sci",NA
"2661-8907","SN computer science","SN Comput Sci",NA
"0933-5846","Archive for mathematical logic","Arch Math Log",0.287
"1432-0665","Archive for mathematical logic","Arch Math Log",NA
"1751-8660","IET electric power applications","IET Electr Power Appl",2.568
"1751-8679","IET electric power applications","IET Electr Power Appl",NA
"2664-777X","Frontiers of oral and maxillofacial medicine","Front Oral Maxillofac Med",NA
"2377-1038","Journal of economics and public finance","J Econ Public Financ",NA
"2377-1046","Journal of economics and public finance","J Econ Public Financ",NA
"2573-0401","Journal of education and culture studies","J Educ Cult Stud",NA
"2573-041X","Journal of education and culture studies","J Educ Cult Stud",NA
"2641-7405","Journal of pediatrics, perinatology and child health","J Pediatr Perinatol Child Health",NA
"2590-2636","Current research in cell biology","Curr Res Cell Biol",NA
"2563-5506","Turtle Island journal of indigenous health","Turt Isl J Indig Health",NA
"2366-7486","Advanced sustainable systems","Adv Sustain Syst",6.271
"2183-2803","Social inclusion","Soc Incl",NA
"2667-0321","Aging and health research","Aging Health Res",NA
"2411-5118","Sexes","Sexes",NA
"1975-5171","Anesthesia and pain medicine","Anesth Pain Med (Seoul)",NA
"2383-7977","Anesthesia and pain medicine","Anesth Pain Med (Seoul)",NA
"2383-8337","Clinics in shoulder and elbow","Clin Shoulder Elb",NA
"2288-8721","Clinics in shoulder and elbow","Clin Shoulder Elb",NA
"2590-1346","Analytica chimica acta: X","Anal Chim Acta X",NA
"2561-9128","JMIR perioperative medicine","JMIR Perioper Med",NA
"2643-6450","Harvard public health review (Cambridge, Mass.)","Harv Public Health Rev (Camb)",NA
"2690-6910","Commonhealth (Philadelphia, Pa.)","Commonhealth (Phila)",NA
"1548-8403","Proceedings of the ... International Joint Conference on Autonomous Agents and Multiagent Systems : AAMAS. International Joint Conference on Autonomous Agents and Multiagent Systems","Proc Int Joint Conf Auton Agents Multiagent Syst",NA
"1558-2914","Proceedings of the ... International Joint Conference on Autonomous Agents and Multiagent Systems : AAMAS. International Joint Conference on Autonomous Agents and Multiagent Systems","Proc Int Joint Conf Auton Agents Multiagent Syst",NA
"2633-1462","Bone & joint open","Bone Jt Open",NA
"0857-1074","Journal of the ASEAN Federation of Endocrine Societies","J ASEAN Fed Endocr Soc",NA
"2308-118X","Journal of the ASEAN Federation of Endocrine Societies","J ASEAN Fed Endocr Soc",NA
"2373-9231","Proceedings of the Association for Information Science and Technology. Association for Information Science and Technology","Proc Assoc Inf Sci Technol",NA
"2641-8320","Annals of reviews and research","Ann Rev Res",NA
"2475-6431","The Rutgers journal of bioethics","Rutgers J Bioeth",NA
"2475-644X","The Rutgers journal of bioethics","Rutgers J Bioeth",NA
"2515-0227","Bioscientifica proceedings","Biosci Proc",NA
"2573-2889","International journal of molecular biology (Edmond, Okla.)","Int J Mol Biol (Edmond)",NA
"2673-3129","Frontiers in medical technology","Front Med Technol",NA
"2156-3381","IEEE journal of photovoltaics","IEEE J Photovolt",3.887
"2156-3403","IEEE journal of photovoltaics","IEEE J Photovolt",NA
"2662-2033","Banach journal of mathematical analysis","Banach J Math Anal",0.99
"1735-8787","Banach journal of mathematical analysis","Banach J Math Anal",NA
"1729-8806","International journal of advanced robotic systems","Int J Adv Robot Syst",NA
"1729-8814","International journal of advanced robotic systems","Int J Adv Robot Syst",1.652
"2639-3735","HSOA journal of toxicology : current research","HSOA J Toxicol",NA
"2662-4435","Communications earth & environment","Commun Earth Environ",NA
"2662-9992","Humanities & social sciences communications","Humanit Soc Sci Commun",NA
"2474-7599","Open access journal of toxicology","Open Access J Toxicol",NA
"2691-3321","JBI evidence implementation","JBI Evid Implement",0
"0266-4720","Expert systems","Expert Syst",2.587
"1468-0394","Expert systems","Expert Syst",NA
"0975-8151","Journal of proteins and proteomics","J Proteins Proteom",NA
"2524-4663","Journal of proteins and proteomics","J Proteins Proteom",NA
"2642-2409","Journal of economics, trade and marketing management","J Econ Trade Mark Manag",NA
"2642-2417","Journal of economics, trade and marketing management","J Econ Trade Mark Manag",NA
